,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,Country,ClientID,Lounge_ID
0,0,0,0,0,0,0,2005-09-27,21.049999,21.4,19.1,19.299999,18.194912,961200,UAE,2,22
1,1,1,1,1,1,1,2005-09-28,19.299999,20.530001,19.200001,20.5,19.326204,5747900,Uk,3,47
2,2,2,2,2,2,2,2005-09-29,20.4,20.58,20.1,20.209999,19.052807,1078200,Algeria,4,49
3,3,3,3,3,3,3,2005-09-30,20.26,21.049999,20.18,21.01,19.806997,3123300,Germany,9,11
4,4,4,4,4,4,4,2005-10-03,20.9,21.75,20.9,21.5,20.268946,1057900,USA,10,42
5,5,5,5,5,5,5,2005-10-04,21.440001,22.5,21.440001,22.16,20.891151,1768800,Morroco,6,43
6,6,6,6,6,6,6,2005-10-05,22.1,22.309999,21.75,22.200001,20.928862,904300,Uk,7,25
7,7,7,7,7,7,7,2005-10-06,22.6,23.0,22.4,22.58,21.287102,1614200,Morroco,2,21
8,8,8,8,8,8,8,2005-10-07,22.25,22.6,21.799999,22.15,20.881725,753400,Germany,9,46
9,9,9,9,9,9,9,2005-10-10,22.280001,22.290001,22.1,22.209999,20.938286,538700,Uk,4,4
10,10,10,10,10,10,10,2005-10-11,22.26,22.299999,21.799999,21.98,20.721455,764600,France,3,20
11,11,11,11,11,11,11,2005-10-12,21.9,22.049999,21.639999,21.76,20.514057,912900,Germany,4,12
12,12,12,12,12,12,12,2005-10-13,21.700001,21.799999,21.4,21.709999,20.466919,531300,Uk,2,8
13,13,13,13,13,13,13,2005-10-14,21.85,22.4,21.85,22.27,20.994848,887800,UAE,10,12
14,14,14,14,14,14,14,2005-10-17,22.15,22.219999,21.85,22.08,20.815727,464000,Morroco,1,21
15,15,15,15,15,15,15,2005-10-18,22.059999,22.299999,21.35,21.49,20.259508,1815500,USA,9,24
16,16,16,16,16,16,16,2005-10-19,21.370001,21.6,20.85,21.379999,20.155815,1466000,Germany,7,4
17,17,17,17,17,17,17,2005-10-20,21.35,21.48,20.85,21.02,19.816425,640900,France,1,48
18,18,18,18,18,18,18,2005-10-21,21.02,22.42,21.01,21.959999,20.702602,917000,Algeria,8,5
19,19,19,19,19,19,19,2005-10-24,22.01,22.360001,21.950001,22.309999,21.032562,508800,Uk,4,40
20,20,20,20,20,20,20,2005-10-25,22.25,22.540001,21.700001,22.0,20.740309,437300,USA,2,5
21,21,21,21,21,21,21,2005-10-26,22.0,22.450001,21.99,22.32,21.041986,543200,Germany,2,34
22,22,22,22,22,22,22,2005-10-27,22.26,22.559999,22.200001,22.559999,21.26825,351200,Algeria,10,49
23,23,23,23,23,23,23,2005-10-28,22.549999,23.9,22.370001,23.9,22.531517,1614900,France,8,3
24,24,24,24,24,24,24,2005-10-31,24.0,25.35,24.0,24.68,23.266859,706400,Spain,6,30
25,25,25,25,25,25,25,2005-11-01,24.700001,25.08,24.690001,25.02,23.587389,866800,France,4,1
