CLIENT_NAME,lounge_name,lounge_id,DATE_UTC,COUNT_PAX_ALLOWED,COUNT_PAX_REFUSED
LH,LH-ATH-BUS,528,2023-05-25,416,33
LH,LH-BER-BUS,576,2023-05-25,1354,224
LH,LH-BER-SEN,577,2023-05-25,0,0
LH,LH-BOS-BUS,529,2023-05-25,267,72
LH,LH-BOS-FCL,530,2023-05-25,27,0
LH,LH-BRE-BUS,550,2023-05-25,0,0
LH,LH-BRE-SEN,551,2023-05-25,0,0
LH,LH-CDG-BUS,531,2023-05-25,183,47
LH,LH-CDG-SEN,532,2023-05-25,177,0
LH,LH-CGN-BUS,552,2023-05-25,0,0
LH,LH-CGN-SEN,553,2023-05-25,0,0
LH,LH-DEL-BUS,533,2023-05-25,0,0
LH,LH-DEL-SEN,534,2023-05-25,0,0
LH,LH-DRS-BUS,558,2023-05-25,0,0
LH,LH-DRS-SEN,559,2023-05-25,0,0
LH,LH-DTW-BUS,535,2023-05-25,364,70
LH,LH-DTW-SEN,536,2023-05-25,19,0
LH,LH-DUS-BUS,560,2023-05-25,866,282
LH,LH-DUS-SEN,561,2023-05-25,644,0
LH,LH-DXB-BUS,537,2023-05-25,63,9
LH,LH-DXB-SEN,538,2023-05-25,71,0
LH,LH-EWR-BUS,539,2023-05-25,170,14
LH,LH-EWR-SEN,540,2023-05-25,138,0
LH,LH-FRA-BUS-A,517,2023-05-25,1936,449
LH,LH-FRA-BUS-A-WEST,518,2023-05-25,595,110
LH,LH-FRA-BUS-B-OST,519,2023-05-25,663,126
LH,LH-FRA-BUS-B-WEST,508,2023-05-25,963,214
LH,LH-FRA-BUS-C14-C15,520,2023-05-25,153,26
LH,LH-FRA-BUS-C16,521,2023-05-25,0,0
LH,LH-FRA-BUS-Z,522,2023-05-25,781,177
LH,LH-FRA-FCL-A,572,2023-05-25,109,43
LH,LH-FRA-FCL-B,573,2023-05-25,36,7
LH,LH-FRA-FCL-TERMINAL,571,2023-05-25,246,40
LH,LH-FRA-PANORAMA,527,2023-05-25,845,125
LH,LH-FRA-SEN-A,524,2023-05-25,1824,383
LH,LH-FRA-SEN-B,525,2023-05-25,631,260
LH,LH-FRA-SEN-C,526,2023-05-25,16,0
LH,LH-FRA-SEN-Z,523,2023-05-25,724,0
LH,LH-FRA-WELCOME,574,2023-05-25,65,16
LH,LH-HAJ-BUS,554,2023-05-25,131,17
LH,LH-HAJ-SEN,555,2023-05-25,114,0
LH,LH-HAM-BUS,556,2023-05-25,603,78
LH,LH-HAM-SEN,557,2023-05-25,572,0
LH,LH-IAD-BUS,541,2023-05-25,347,92
LH,LH-IAD-SEN,542,2023-05-25,190,0
LH,LH-JFK-BUS,543,2023-05-25,474,61
LH,LH-JFK-FCL,568,2023-05-25,40,0
LH,LH-JFK-SEN,544,2023-05-25,172,0
LH,LH-LEJ-BUS,562,2023-05-25,0,0
LH,LH-LEJ-SEN,563,2023-05-25,0,0
LH,LH-LHR-BUS,545,2023-05-25,1046,205
LH,LH-LHR-SEN,546,2023-05-25,1169,0
LH,LH-MUC-BUS-SAT-K,513,2023-05-25,778,302
LH,LH-MUC-BUS-SAT-L,515,2023-05-25,300,73
LH,LH-MUC-BUS-T2-G,505,2023-05-25,1749,640
LH,LH-MUC-BUS-T2-H,511,2023-05-25,511,159
LH,LH-MUC-DELIGHTS TO GO,516,2023-05-25,0,0
LH,LH-MUC-FCL-SAT,570,2023-05-25,103,10
LH,LH-MUC-FCL-T2,569,2023-05-25,164,27
LH,LH-MUC-SEN CAFE,504,2023-05-25,201,61
LH,LH-MUC-SEN-SAT-K,512,2023-05-25,736,0
LH,LH-MUC-SEN-SAT-L,514,2023-05-25,176,0
LH,LH-MUC-SEN-T2,509,2023-05-25,523,188
LH,LH-MUC-SEN-T2-G,506,2023-05-25,856,0
LH,LH-MUC-SEN-T2-H,510,2023-05-25,512,0
LH,LH-MXP-BUS,547,2023-05-25,583,67
LH,LH-NUE-BUS,564,2023-05-25,0,0
LH,LH-NUE-SEN,565,2023-05-25,0,0
LH,LH-STR-BUS,566,2023-05-25,0,0
LH,LH-STR-SEN,567,2023-05-25,0,0
LH,LH-TXL-BUS,548,2023-05-25,0,0
LH,LH-TXL-SEN,549,2023-05-25,0,0
LH,LH-ATH-BUS,528,2023-05-26,480,45
LH,LH-BER-BUS,576,2023-05-26,1318,299
LH,LH-BER-SEN,577,2023-05-26,0,0
LH,LH-BOS-BUS,529,2023-05-26,258,75
LH,LH-BOS-FCL,530,2023-05-26,20,0
LH,LH-BRE-BUS,550,2023-05-26,0,0
LH,LH-BRE-SEN,551,2023-05-26,0,0
LH,LH-CDG-BUS,531,2023-05-26,124,51
LH,LH-CDG-SEN,532,2023-05-26,154,0
LH,LH-CGN-BUS,552,2023-05-26,0,0
LH,LH-CGN-SEN,553,2023-05-26,0,0
LH,LH-DEL-BUS,533,2023-05-26,0,0
LH,LH-DEL-SEN,534,2023-05-26,0,0
LH,LH-DRS-BUS,558,2023-05-26,0,0
LH,LH-DRS-SEN,559,2023-05-26,0,0
LH,LH-DTW-BUS,535,2023-05-26,390,67
LH,LH-DTW-SEN,536,2023-05-26,25,0
LH,LH-DUS-BUS,560,2023-05-26,600,246
LH,LH-DUS-SEN,561,2023-05-26,488,0
LH,LH-DXB-BUS,537,2023-05-26,51,7
LH,LH-DXB-SEN,538,2023-05-26,44,0
LH,LH-EWR-BUS,539,2023-05-26,172,29
LH,LH-EWR-SEN,540,2023-05-26,100,0
LH,LH-FRA-BUS-A,517,2023-05-26,1847,582
LH,LH-FRA-BUS-A-WEST,518,2023-05-26,689,157
LH,LH-FRA-BUS-B-OST,519,2023-05-26,780,66
LH,LH-FRA-BUS-B-WEST,508,2023-05-26,775,101
LH,LH-FRA-BUS-C14-C15,520,2023-05-26,175,20
LH,LH-FRA-BUS-C16,521,2023-05-26,0,0
LH,LH-FRA-BUS-Z,522,2023-05-26,904,247
LH,LH-FRA-FCL-A,572,2023-05-26,106,73
LH,LH-FRA-FCL-B,573,2023-05-26,44,3
LH,LH-FRA-FCL-TERMINAL,571,2023-05-26,316,36
LH,LH-FRA-PANORAMA,527,2023-05-26,972,153
LH,LH-FRA-SEN-A,524,2023-05-26,1906,438
LH,LH-FRA-SEN-B,525,2023-05-26,724,430
LH,LH-FRA-SEN-C,526,2023-05-26,29,0
LH,LH-FRA-SEN-Z,523,2023-05-26,940,0
LH,LH-FRA-WELCOME,574,2023-05-26,76,13
LH,LH-HAJ-BUS,554,2023-05-26,151,29
LH,LH-HAJ-SEN,555,2023-05-26,103,0
LH,LH-HAM-BUS,556,2023-05-26,549,100
LH,LH-HAM-SEN,557,2023-05-26,646,0
LH,LH-IAD-BUS,541,2023-05-26,326,70
LH,LH-IAD-SEN,542,2023-05-26,138,0
LH,LH-JFK-BUS,543,2023-05-26,495,96
LH,LH-JFK-FCL,568,2023-05-26,39,0
LH,LH-JFK-SEN,544,2023-05-26,147,0
LH,LH-LEJ-BUS,562,2023-05-26,0,0
LH,LH-LEJ-SEN,563,2023-05-26,0,0
LH,LH-LHR-BUS,545,2023-05-26,1111,194
LH,LH-LHR-SEN,546,2023-05-26,921,0
LH,LH-MUC-BUS-SAT-K,513,2023-05-26,795,224
LH,LH-MUC-BUS-SAT-L,515,2023-05-26,344,81
LH,LH-MUC-BUS-T2-G,505,2023-05-26,1843,547
LH,LH-MUC-BUS-T2-H,511,2023-05-26,536,201
LH,LH-MUC-DELIGHTS TO GO,516,2023-05-26,0,0
LH,LH-MUC-FCL-SAT,570,2023-05-26,130,10
LH,LH-MUC-FCL-T2,569,2023-05-26,217,42
LH,LH-MUC-SEN CAFE,504,2023-05-26,176,17
LH,LH-MUC-SEN-SAT-K,512,2023-05-26,778,0
LH,LH-MUC-SEN-SAT-L,514,2023-05-26,266,0
LH,LH-MUC-SEN-T2,509,2023-05-26,671,165
LH,LH-MUC-SEN-T2-G,506,2023-05-26,941,0
LH,LH-MUC-SEN-T2-H,510,2023-05-26,634,0
LH,LH-MXP-BUS,547,2023-05-26,606,63
LH,LH-NUE-BUS,564,2023-05-26,0,0
LH,LH-NUE-SEN,565,2023-05-26,0,0
LH,LH-STR-BUS,566,2023-05-26,0,0
LH,LH-STR-SEN,567,2023-05-26,0,0
LH,LH-TXL-BUS,548,2023-05-26,0,0
LH,LH-TXL-SEN,549,2023-05-26,0,0
LH,LH-ATH-BUS,528,2023-05-27,432,52
LH,LH-BER-BUS,576,2023-05-27,765,203
LH,LH-BER-SEN,577,2023-05-27,0,0
LH,LH-BOS-BUS,529,2023-05-27,235,56
LH,LH-BOS-FCL,530,2023-05-27,25,0
LH,LH-BRE-BUS,550,2023-05-27,0,0
LH,LH-BRE-SEN,551,2023-05-27,0,0
LH,LH-CDG-BUS,531,2023-05-27,89,26
LH,LH-CDG-SEN,532,2023-05-27,86,0
LH,LH-CGN-BUS,552,2023-05-27,0,0
LH,LH-CGN-SEN,553,2023-05-27,0,0
LH,LH-DEL-BUS,533,2023-05-27,0,0
LH,LH-DEL-SEN,534,2023-05-27,0,0
LH,LH-DRS-BUS,558,2023-05-27,0,0
LH,LH-DRS-SEN,559,2023-05-27,0,0
LH,LH-DTW-BUS,535,2023-05-27,240,38
LH,LH-DTW-SEN,536,2023-05-27,7,0
LH,LH-DUS-BUS,560,2023-05-27,200,75
LH,LH-DUS-SEN,561,2023-05-27,195,0
LH,LH-DXB-BUS,537,2023-05-27,53,1
LH,LH-DXB-SEN,538,2023-05-27,45,0
LH,LH-EWR-BUS,539,2023-05-27,191,33
LH,LH-EWR-SEN,540,2023-05-27,80,0
LH,LH-FRA-BUS-A,517,2023-05-27,1621,405
LH,LH-FRA-BUS-A-WEST,518,2023-05-27,554,169
LH,LH-FRA-BUS-B-OST,519,2023-05-27,719,34
LH,LH-FRA-BUS-B-WEST,508,2023-05-27,879,134
LH,LH-FRA-BUS-C14-C15,520,2023-05-27,199,31
LH,LH-FRA-BUS-C16,521,2023-05-27,0,0
LH,LH-FRA-BUS-Z,522,2023-05-27,939,225
LH,LH-FRA-FCL-A,572,2023-05-27,81,39
LH,LH-FRA-FCL-B,573,2023-05-27,35,6
LH,LH-FRA-FCL-TERMINAL,571,2023-05-27,167,24
LH,LH-FRA-PANORAMA,527,2023-05-27,836,154
LH,LH-FRA-SEN-A,524,2023-05-27,1348,224
LH,LH-FRA-SEN-B,525,2023-05-27,707,167
LH,LH-FRA-SEN-C,526,2023-05-27,5,0
LH,LH-FRA-SEN-Z,523,2023-05-27,923,0
LH,LH-FRA-WELCOME,574,2023-05-27,56,9
LH,LH-HAJ-BUS,554,2023-05-27,79,18
LH,LH-HAJ-SEN,555,2023-05-27,52,0
LH,LH-HAM-BUS,556,2023-05-27,279,41
LH,LH-HAM-SEN,557,2023-05-27,266,0
LH,LH-IAD-BUS,541,2023-05-27,263,45
LH,LH-IAD-SEN,542,2023-05-27,135,0
LH,LH-JFK-BUS,543,2023-05-27,469,105
LH,LH-JFK-FCL,568,2023-05-27,24,0
LH,LH-JFK-SEN,544,2023-05-27,130,0
LH,LH-LEJ-BUS,562,2023-05-27,0,0
LH,LH-LEJ-SEN,563,2023-05-27,0,0
LH,LH-LHR-BUS,545,2023-05-27,907,108
LH,LH-LHR-SEN,546,2023-05-27,507,0
LH,LH-MUC-BUS-SAT-K,513,2023-05-27,808,261
LH,LH-MUC-BUS-SAT-L,515,2023-05-27,270,72
LH,LH-MUC-BUS-T2-G,505,2023-05-27,1245,377
LH,LH-MUC-BUS-T2-H,511,2023-05-27,641,270
LH,LH-MUC-DELIGHTS TO GO,516,2023-05-27,0,0
LH,LH-MUC-FCL-SAT,570,2023-05-27,134,5
LH,LH-MUC-FCL-T2,569,2023-05-27,120,96
LH,LH-MUC-SEN CAFE,504,2023-05-27,0,0
LH,LH-MUC-SEN-SAT-K,512,2023-05-27,806,0
LH,LH-MUC-SEN-SAT-L,514,2023-05-27,254,0
LH,LH-MUC-SEN-T2,509,2023-05-27,443,126
LH,LH-MUC-SEN-T2-G,506,2023-05-27,639,0
LH,LH-MUC-SEN-T2-H,510,2023-05-27,647,0
LH,LH-MXP-BUS,547,2023-05-27,321,26
LH,LH-NUE-BUS,564,2023-05-27,0,0
LH,LH-NUE-SEN,565,2023-05-27,0,0
LH,LH-STR-BUS,566,2023-05-27,0,0
LH,LH-STR-SEN,567,2023-05-27,0,0
LH,LH-TXL-BUS,548,2023-05-27,0,0
LH,LH-TXL-SEN,549,2023-05-27,0,0
LH,LH-ATH-BUS,528,2023-05-28,467,49
LH,LH-BER-BUS,576,2023-05-28,555,173
LH,LH-BER-SEN,577,2023-05-28,0,0
LH,LH-BOS-BUS,529,2023-05-28,224,54
LH,LH-BOS-FCL,530,2023-05-28,9,0
LH,LH-BRE-BUS,550,2023-05-28,0,0
LH,LH-BRE-SEN,551,2023-05-28,0,0
LH,LH-CDG-BUS,531,2023-05-28,148,52
LH,LH-CDG-SEN,532,2023-05-28,99,0
LH,LH-CGN-BUS,552,2023-05-28,0,0
LH,LH-CGN-SEN,553,2023-05-28,0,0
LH,LH-DEL-BUS,533,2023-05-28,0,0
LH,LH-DEL-SEN,534,2023-05-28,0,0
LH,LH-DRS-BUS,558,2023-05-28,0,0
LH,LH-DRS-SEN,559,2023-05-28,0,0
LH,LH-DTW-BUS,535,2023-05-28,168,32
LH,LH-DTW-SEN,536,2023-05-28,0,0
LH,LH-DUS-BUS,560,2023-05-28,267,81
LH,LH-DUS-SEN,561,2023-05-28,178,0
LH,LH-DXB-BUS,537,2023-05-28,80,1
LH,LH-DXB-SEN,538,2023-05-28,26,0
LH,LH-EWR-BUS,539,2023-05-28,165,20
LH,LH-EWR-SEN,540,2023-05-28,90,0
LH,LH-FRA-BUS-A,517,2023-05-28,1436,185
LH,LH-FRA-BUS-A-WEST,518,2023-05-28,336,105
LH,LH-FRA-BUS-B-OST,519,2023-05-28,812,88
LH,LH-FRA-BUS-B-WEST,508,2023-05-28,815,139
LH,LH-FRA-BUS-C14-C15,520,2023-05-28,186,23
LH,LH-FRA-BUS-C16,521,2023-05-28,0,0
LH,LH-FRA-BUS-Z,522,2023-05-28,1243,204
LH,LH-FRA-FCL-A,572,2023-05-28,61,20
LH,LH-FRA-FCL-B,573,2023-05-28,36,4
LH,LH-FRA-FCL-TERMINAL,571,2023-05-28,140,13
LH,LH-FRA-PANORAMA,527,2023-05-28,609,126
LH,LH-FRA-SEN-A,524,2023-05-28,893,176
LH,LH-FRA-SEN-B,525,2023-05-28,627,197
LH,LH-FRA-SEN-C,526,2023-05-28,20,0
LH,LH-FRA-SEN-Z,523,2023-05-28,416,0
LH,LH-FRA-WELCOME,574,2023-05-28,47,0
LH,LH-HAJ-BUS,554,2023-05-28,65,12
LH,LH-HAJ-SEN,555,2023-05-28,33,0
LH,LH-HAM-BUS,556,2023-05-28,267,41
LH,LH-HAM-SEN,557,2023-05-28,192,0
LH,LH-IAD-BUS,541,2023-05-28,244,49
LH,LH-IAD-SEN,542,2023-05-28,98,0
LH,LH-JFK-BUS,543,2023-05-28,326,37
LH,LH-JFK-FCL,568,2023-05-28,37,0
LH,LH-JFK-SEN,544,2023-05-28,73,0
LH,LH-LEJ-BUS,562,2023-05-28,0,0
LH,LH-LEJ-SEN,563,2023-05-28,0,0
LH,LH-LHR-BUS,545,2023-05-28,831,128
LH,LH-LHR-SEN,546,2023-05-28,761,0
LH,LH-MUC-BUS-SAT-K,513,2023-05-28,615,185
LH,LH-MUC-BUS-SAT-L,515,2023-05-28,303,86
LH,LH-MUC-BUS-T2-G,505,2023-05-28,1091,277
LH,LH-MUC-BUS-T2-H,511,2023-05-28,563,185
LH,LH-MUC-DELIGHTS TO GO,516,2023-05-28,0,0
LH,LH-MUC-FCL-SAT,570,2023-05-28,95,4
LH,LH-MUC-FCL-T2,569,2023-05-28,95,65
LH,LH-MUC-SEN CAFE,504,2023-05-28,0,0
LH,LH-MUC-SEN-SAT-K,512,2023-05-28,606,0
LH,LH-MUC-SEN-SAT-L,514,2023-05-28,209,0
LH,LH-MUC-SEN-T2,509,2023-05-28,347,116
LH,LH-MUC-SEN-T2-G,506,2023-05-28,554,0
LH,LH-MUC-SEN-T2-H,510,2023-05-28,479,0
LH,LH-MXP-BUS,547,2023-05-28,477,49
LH,LH-NUE-BUS,564,2023-05-28,0,0
LH,LH-NUE-SEN,565,2023-05-28,0,0
LH,LH-STR-BUS,566,2023-05-28,0,0
LH,LH-STR-SEN,567,2023-05-28,0,0
LH,LH-TXL-BUS,548,2023-05-28,0,0
LH,LH-TXL-SEN,549,2023-05-28,0,0
LH,LH-ATH-BUS,528,2023-05-29,552,46
LH,LH-BER-BUS,576,2023-05-29,815,216
LH,LH-BER-SEN,577,2023-05-29,0,0
LH,LH-BOS-BUS,529,2023-05-29,227,50
LH,LH-BOS-FCL,530,2023-05-29,12,0
LH,LH-BRE-BUS,550,2023-05-29,0,0
LH,LH-BRE-SEN,551,2023-05-29,0,0
LH,LH-CDG-BUS,531,2023-05-29,202,53
LH,LH-CDG-SEN,532,2023-05-29,124,0
LH,LH-CGN-BUS,552,2023-05-29,0,0
LH,LH-CGN-SEN,553,2023-05-29,0,0
LH,LH-DEL-BUS,533,2023-05-29,0,0
LH,LH-DEL-SEN,534,2023-05-29,0,0
LH,LH-DRS-BUS,558,2023-05-29,0,0
LH,LH-DRS-SEN,559,2023-05-29,0,0
LH,LH-DTW-BUS,535,2023-05-29,280,80
LH,LH-DTW-SEN,536,2023-05-29,1,0
LH,LH-DUS-BUS,560,2023-05-29,345,78
LH,LH-DUS-SEN,561,2023-05-29,296,0
LH,LH-DXB-BUS,537,2023-05-29,69,3
LH,LH-DXB-SEN,538,2023-05-29,27,0
LH,LH-EWR-BUS,539,2023-05-29,172,13
LH,LH-EWR-SEN,540,2023-05-29,86,0
LH,LH-FRA-BUS-A,517,2023-05-29,1434,192
LH,LH-FRA-BUS-A-WEST,518,2023-05-29,428,103
LH,LH-FRA-BUS-B-OST,519,2023-05-29,621,83
LH,LH-FRA-BUS-B-WEST,508,2023-05-29,841,162
LH,LH-FRA-BUS-C14-C15,520,2023-05-29,151,18
LH,LH-FRA-BUS-C16,521,2023-05-29,0,0
LH,LH-FRA-BUS-Z,522,2023-05-29,855,245
LH,LH-FRA-FCL-A,572,2023-05-29,92,28
LH,LH-FRA-FCL-B,573,2023-05-29,39,3
LH,LH-FRA-FCL-TERMINAL,571,2023-05-29,146,16
LH,LH-FRA-PANORAMA,527,2023-05-29,684,167
LH,LH-FRA-SEN-A,524,2023-05-29,1282,223
LH,LH-FRA-SEN-B,525,2023-05-29,550,203
LH,LH-FRA-SEN-C,526,2023-05-29,17,0
LH,LH-FRA-SEN-Z,523,2023-05-29,871,0
LH,LH-FRA-WELCOME,574,2023-05-29,45,5
LH,LH-HAJ-BUS,554,2023-05-29,103,13
LH,LH-HAJ-SEN,555,2023-05-29,75,0
LH,LH-HAM-BUS,556,2023-05-29,450,58
LH,LH-HAM-SEN,557,2023-05-29,441,0
LH,LH-IAD-BUS,541,2023-05-29,283,63
